issue_number,title,ground_truth
1855,v1.160.0 build fails,bug
1813,`doctl registry` commands fail with 412 for multi-registry accounts without clear error or guidance,bug
1797,registry repository list-v2 ignores --format and --no-header flags,bug
1790,registries repository delete-tag returns success for images that don't exist,bug
1785,"Serverless cannot be installed: unknown command ""serverless"" for ""doctl""",bug
1782,doctl apps spec get not returning authority correctly,bug
1776,DigitalOcean Container Registry GET/DELETE API Calls Failing,bug
1775,Incorrect Release Files - Breaking action-doctl@v2,bug
1763,Non working example for doctl compute image create,bug
1760,1.444.0 Release missing files,bug
1759,v1.144.0 missing builds,bug
1758,doctl databases pool create (fails when --user arg not provided),bug
1753,doctl registry garbage-collection start --force still asks for confirmation,bug
1750,--force flag doesn't work on delete-manifest,bug
1749,doctl list-tags flags no longer working,bug
1733,Latest release doesn't include binaries?,bug
1723,doctl registry with multiple registry,bug
1710,Error getting terminal size: The handle is invalid,bug
1689,"unknown field ""authority"" reported when validating example spec from DO documentation",bug
1683,doctl compute action list is SLOW,bug
1681,"doctl compute droplet create - starting two extra droplets, both named true",bug
1665,1.122 installed via Homebrew on MacOS is flagged by antivirus,bug
1656,doctl fail to install serverless when using docker,bug
1644,"deploying serverless from ubuntu with python dependencies hangs, fails, is generally unclear",bug
1637,functions: runtime of go:1.20 ignored ,bug
1635,"Document permissions for ""doctl compute droplet create"" optional flags",bug
1632,Deployment failure: `sh: 1: tsc: Permission denied`,bug
1619,bug: fail to create a kube cluster,bug
1614,doctl apps logs id -f quietly quits,bug
1605,[Windows ARM64] 404 error on `doctl serverless install`,bug
1602,Error: unexpected end of JSON input,bug
1597,Some inconsistencies in enum argument descriptions,bug
1594,Option descriptions not printed correctly.,bug
1561,Doctl registry repository list-tags failing with 404 ,bug
1559,`doctl serverless install` should not require authentication,bug
1545,Serverless: Can not install Serverless in Linux x64,bug
1543,`doctl auth list --output json` produces text output,bug
1537,Functions node flag --env not working?,bug
1534,functions: attributes generated by quick start are undocumented ,bug
1530,"doctl registry login fails with ""error storing credentials""",bug
1527,doctl --user-data help syntax wrong ,bug
