issue_number,title,github_labels
1822,doctl apps list-job-invocations returns empty results when invocations exist,
1813,`doctl registry` commands fail with 412 for multi-registry accounts without clear error or guidance,bug
1801,Support of --since nad --until arguments in doctl,suggestion
1785,"Serverless cannot be installed: unknown command ""serverless"" for ""doctl""",bug
1782,doctl apps spec get not returning authority correctly,"bug,app-platform"
1775,Incorrect Release Files - Breaking action-doctl@v2,bug
1763,Non working example for doctl compute image create,"bug,hacktoberfest"
1758,doctl databases pool create (fails when --user arg not provided),"bug,hacktoberfest"
1753,doctl registry garbage-collection start --force still asks for confirmation,bug
1749,doctl list-tags flags no longer working,"bug,hacktoberfest"
1723,doctl registry with multiple registry,"bug,api-parity"
1689,"unknown field ""authority"" reported when validating example spec from DO documentation",bug
1683,doctl compute action list is SLOW,bug
1681,"doctl compute droplet create - starting two extra droplets, both named true",bug
1656,doctl fail to install serverless when using docker,bug
1635,"Document permissions for ""doctl compute droplet create"" optional flags",bug
1632,Deployment failure: `sh: 1: tsc: Permission denied`,bug
1624,doctl .deb package,suggestion
1618,doctl manual,suggestion
1614,doctl apps logs id -f quietly quits,bug
1605,[Windows ARM64] 404 error on `doctl serverless install`,bug
1572,"Can `dockerSocketPath` be configurable, issues when socket is in different location.",
1561,Doctl registry repository list-tags failing with 404 ,bug
1559,`doctl serverless install` should not require authentication,bug
1543,`doctl auth list --output json` produces text output,bug
1536,doctl apps logs doesn't output JSON,"suggestion,do-api"
1534,functions: attributes generated by quick start are undocumented ,bug
1533,feature: functions: create function triggers with doctl ,suggestion
1530,"doctl registry login fails with ""error storing credentials""",bug
1527,doctl --user-data help syntax wrong ,bug
1525,Error: websocket: bad handshake for doctl apps logs <app id> -f --tail 200,bug
1516,doctl kubernetes cluster node-pool create mycluster123 --auto-scale --min-nodes 0 --name test --size s-1vcpu-2gb --max-nodes 1 --count 0 says the node pool needs at least min 1,"bug,do-api"
1507,Adding taints has wrong syntax in DO docs,bug
1464,doctl registry garbage-collection start --force moves the registry to RO mode but don't run garbage collector,bug
1460,Get deployment status via doctl,"suggestion,api-parity"
1447,`doctl auth init` connection refused,bug
